Instance family ,Instance type ,vCPU ,Memory (GiB) ,SAPS 
m5 ,m5.metal ,96,384,142000
m5 ,m5.24xlarge ,96,384,135230
m5 ,m5.16xlarge ,64,256,90153
m5 ,m5.12xlarge ,48,192,67615
m5 ,m5.8xlarge ,32,128,45077
m5 ,m5.4xlarge ,16,64,22538
m5 ,m5.2xlarge ,8,32,11269
m5 ,m5.xlarge ,4,16,5535
m5 ,m5.large ,2,8,2817
m6i ,m6i.32xlarge ,128,512,198080
m6i ,m6i.24xlarge ,96,384,148560
m6i ,m6i.16xlarge ,64,256,99040
m6i ,m6i.12xlarge ,48,192,74280
m6i ,m6i.8xlarge ,32,128,49520
m6i ,m6i.4xlarge ,16,64,24760
m6i ,m6i.2xlarge ,8,32,12380
m6i ,m6i.xlarge ,4,16,6190
m6i ,m6i.large ,2,8,3095
m6id ,m6id.32xlarge ,128,512,198080
m6id ,m6id.24xlarge ,96,384,148560
m6id ,m6id.16xlarge ,64,256,99040
m6id ,m6id.12xlarge ,48,192,74280
m6id ,m6id.8xlarge ,32,128,49520
m6id ,m6id.4xlarge ,16,64,24760
m6id ,m6id.2xlarge ,8,32,12380
m6id ,m6id.xlarge ,4,16,6190
m6id ,m6id.large ,2,8,3095
m6in ,m6in.32xlarge ,128,512,198080
m6in ,m6in.24xlarge ,96,384,148560
m6in ,m6in.16xlarge ,64,256,99040
m6in ,m6in.12xlarge ,48,192,74280
m6in ,m6in.8xlarge ,32,128,49520
m6in ,m6in.4xlarge ,16,64,24760
m6in ,m6in.2xlarge ,8,32,12380
m6in ,m6in.xlarge ,4,16,6190
m6in ,m6in.large ,2,8,3095
m6idn ,m6idn.32xlarge ,128,512,198080
m6idn ,m6idn.24xlarge ,96,384,148560
m6idn ,m6idn.16xlarge ,64,256,99040
m6idn ,m6idn.12xlarge ,48,192,74280
m6idn ,m6idn.8xlarge ,32,128,49520
m6idn ,m6idn.4xlarge ,16,64,24760
m6idn ,m6idn.2xlarge ,8,32,12380
m6idn ,m6idn.xlarge ,4,16,6190
m6idn ,m6idn.large ,2,8,3095
m6a ,m6a.48xlarge ,192,768,290220
m6a ,m6a.32xlarge ,128,512,193480
m6a ,m6a.24xlarge ,96,384,145110
m6a ,m6a.16xlarge ,64,256,96740
m6a ,m6a.12xlarge ,48,192,72555
m6a ,m6a.8xlarge ,32,128,48370
m6a ,m6a.4xlarge ,16,64,24185
m6a ,m6a.2xlarge ,8,32,12093
m6a ,m6a.xlarge ,4,16,6046
m6a ,m6a.large ,2,8,3023
m7a ,m7a.48xlarge ,192,768,429720
m7a ,m7a.32xlarge ,128,512,286464
m7a ,m7a.24xlarge ,96,384,214848
m7a ,m7a.16xlarge ,64,256,143232
m7a ,m7a.12xlarge ,48,192,107424
m7a ,m7a.8xlarge ,32,128,71616
m7a ,m7a.4xlarge ,16,64,35808
m7a ,m7a.2xlarge ,8,32,17904
m7a ,m7a.xlarge ,4,16,8952
m7a ,m7a.large ,2,8,4476
m7a ,m7a.medium ,1,4,2238
m7i ,m7i.48xlarge* ,192,768,306202
m7i ,m7i.24xlarge ,96,384,167470
m7i ,m7i.16xlarge ,64,256,123300
m7i ,m7i.12xlarge ,48,192,101200
m7i ,m7i.8xlarge ,32,128,67480
m7i ,m7i.4xlarge ,16,64,33740
m7i ,m7i.2xlarge ,8,32,16870
m7i ,m7i.xlarge ,4,16,8435
m7i ,m7i.large ,2,8,4218
c5 ,c5.18xlarge ,72,144,95400
c5 ,c5.9xlarge ,36,72,47700
c5 ,c5.4xlarge ,16,32,21200
c5 ,c5.2xlarge ,8,16,10600
c5 ,c5.xlarge ,4,8,5300
c5 ,c5.large ,2,4,2650
c5n ,c5n.18xlarge ,72,192,95400
c5n ,c5n.9xlarge ,36,96,47700
c5n ,c5n.4xlarge ,16,42,21200
c5n ,c5n.2xlarge ,8,21,10600
c5n ,c5n.xlarge ,4,11,5300
c5n ,c5n.large ,2,5,2650
c5a ,c5a.24xlarge ,96,192,131830
c5a ,c5a.16xlarge ,64,128,87887
c5a ,c5a.12xlarge ,48,96,65915
c5a ,c5a.8xlarge ,32,64,43943
c5a ,c5a.4xlarge ,16,32,21973
c5a ,c5a.2xlarge ,8,16,10986
c5a ,c5a.xlarge ,4,8,5493
c5a ,c5a.large ,2,4,2746
c6i ,c6i.32xlarge ,128,256,188780
c6i ,c6i.24xlarge ,96,192,141585
c6i ,c6i.16xlarge ,64,128,94390
c6i ,c6i.12xlarge ,48,96,70793
c6i ,c6i.8xlarge ,32,64,47195
c6i ,c6i.4xlarge ,16,32,23598
c6i ,c6i.2xlarge ,8,16,11799
c6i ,c6i.xlarge ,4,8,5899
c6i ,c6i.large ,2,4,2950
c6id ,c6id.32xlarge ,128,256,188780
c6id ,c6id.24xlarge ,96,192,141585
c6id ,c6id.16xlarge ,64,128,94390
c6id ,c6id.12xlarge ,48,96,70793
c6id ,c6id.8xlarge ,32,64,47195
c6id ,c6id.4xlarge ,16,32,23598
c6id ,c6id.2xlarge ,8,16,11799
c6id ,c6id.xlarge ,4,8,5899
c6id ,c6id.large ,2,4,2950
c6a ,c6a.48xlarge ,192,384,274900
c6a ,c6a.32xlarge ,128,256,183267
c6a ,c6a.24xlarge ,96,192,137450
c6a ,c6a.16xlarge ,64,128,91633
c6a ,c6a.12xlarge ,48,96,68725
c6a ,c6a.8xlarge ,32,64,45817
c6a ,c6a.4xlarge ,16,32,22908
c6a ,c6a.2xlarge ,8,16,11454
c6a ,c6a.xlarge ,4,8,5727
c6a ,c6a.large ,2,4,2864
r5 ,r5.metal ,96,768,143230
r5 ,r5.24xlarge ,96,768,138770
r5 ,r5.16xlarge ,64,512,92513
r5 ,r5.12xlarge ,48,384,69385
r5 ,r5.8xlarge ,32,256,46257
r5 ,r5.4xlarge ,16,128,23128
r5 ,r5.2xlarge ,8,64,11564
r5 ,r5.xlarge ,4,32,5782
r5 ,r5.large ,2,16,2891
r5n ,r5n.metal ,96,768,143230
r5n ,r5n.24xlarge ,96,768,138770
r5n ,r5n.16xlarge ,64,512,92513
r5n ,r5n.12xlarge ,48,384,69385
r5n ,r5n.8xlarge ,32,256,46257
r5n ,r5n.4xlarge ,16,128,23128
r5n ,r5n.2xlarge ,8,64,11564
r5n ,r5n.xlarge ,4,32,5782
r5n ,r5n.large ,2,16,2891
r5b ,r5b.metal ,96,768,143230
r5b ,r5b.24xlarge ,96,768,138770
r5b ,r5b.16xlarge ,64,512,92513
r5b ,r5b.12xlarge ,48,384,69385
r5b ,r5b.8xlarge ,32,256,46257
r5b ,r5b.4xlarge ,16,128,23128
r5b ,r5b.2xlarge ,8,64,11564
r5b ,r5b.xlarge ,4,32,5782
r5b ,r5b.large ,2,16,2891
r6i ,r6i.metal ,128,1024,203600
r6i ,r6i.32xlarge ,128,1024,196050
r6i ,r6i.24xlarge ,96,768,147038
r6i ,r6i.16xlarge ,64,512,98025
r6i ,r6i.12xlarge ,48,384,73519
r6i ,r6i.8xlarge ,32,256,49013
r6i ,r6i.4xlarge ,16,128,24506
r6i ,r6i.2xlarge ,8,64,12253
r6i ,r6i.xlarge ,4,32,6127
r6i ,r6i.large ,2,16,3063
r6id ,r6id.metal ,128,1024,203600
r6id ,r6id.32xlarge ,128,1024,196050
r6id ,r6id.24xlarge ,96,768,147038
r6id ,r6id.16xlarge ,64,512,98025
r6id ,r6id.12xlarge ,48,384,73519
r6id ,r6id.8xlarge ,32,256,49013
r6id ,r6id.4xlarge ,16,128,24506
r6id ,r6id.2xlarge ,8,64,12253
r6id ,r6id.xlarge ,4,32,6127
r6id ,r6id.large ,2,16,3063
r6in ,r6in.32xlarge ,128,1024,196050
r6in ,r6in.24xlarge ,96,768,147038
r6in ,r6in.16xlarge ,64,512,98025
r6in ,r6in.12xlarge ,48,384,73519
r6in ,r6in.8xlarge ,32,256,49013
r6in ,r6in.4xlarge ,16,128,24506
r6in ,r6in.2xlarge ,8,64,12253
r6in ,r6in.xlarge ,4,32,6127
